director,avg_vote
"Lloyd Bacon, Michael Curtiz",6.2
John Francis Dillon,5.8
Paul L. Stein,5.8
Harry Beaumont,6.1
Tod Browning,6
"Robert Milton, Ray Enright",6.7
Sam Wood,6.2
"Dorothy Arzner, Otto Brower",5.9
Victor Halperin,5.3
William C. de Mille,6.1
Jean Grémillon,7.2
Mervyn LeRoy,6.1
"Yakov Protazanov, Porfiri Podobed",7.1
Augusto Genina,6.9
Edward Sloman,5.7
George Fitzmaurice,5
"George Fitzmaurice, Harry d'Abbadie d'Arrast",6.5
Frank Capra,5.7
Yasujirô Ozu,6.4
Edmund Goulding,5.6
"Fred Niblo, Lionel Barrymore",5.6
"Nick Grinde, Malcolm St. Clair",5.8
Victor Fleming,5
Rowland V. Lee,6.7
Michael Curtiz,5.5
William Beaudine,5.7
"Lionel Barrymore, Hal Roach",5.9
"Irene Starewicz, Wladyslaw Starewicz",7.8
Clarence Brown,5.9
"George Cukor, Cyril Gardner",6.3
Donald Crisp,5.2
Jean Cocteau,7.4
Dorothy Arzner,5.6
"Lionel Barrymore, Wesley Ruggles",5.5
Charles Brabin,5.1
Mervyn LeRoy,6.4
George Archainbaud,5.9
Louis Wolheim,5.5
Paul L. Stein,6.2
John G. Adolfi,6.3
Sam Wood,6.2
Lloyd Bacon,6.2
Frank Lloyd,6
Frank Borzage,5.3
Yasujirô Ozu,7
Benjamin Stoloff,6
René Clair,7.1
John Francis Dillon,5.5
John Cromwell,6.8
William A. Seiter,5.3
Alfred E. Green,5.1
John Cromwell,6.6
"Jack Conway, Sam Wood",5.5
Roy Del Ruth,5.9
John Cromwell,6.4
Karl Anton,7.1
Mervyn LeRoy,6.1
Frank Tuttle,6.7
William A. Seiter,5.7
Jack Conway,6.8
John Ford,6
"Ludwig Berger, Ernst Lubitsch",5.7
"George Cukor, Louis J. Gasnier",5.5
Edgar Selwyn,6.1
