,title,year,genre,duration,country,language,director,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,votecat,director_avg
738,Love Object,2003,"Drama, Horror, Romance",88,USA,English,Robert Parigi,6.3,3365,1000000,6028,6028,45,49,47,Middle,6.3
739,Malibu's Most Wanted - Rapimento a Malibu,2003,"Comedy, Crime",86,USA,English,John Whitesell,5.2,18345,15000000,34432201,34622504,43,91,36,Middle,4.985714285714286
740,Scemo & più scemo - Iniziò così...,2003,Comedy,85,USA,English,Troy Miller,3.4,36849,19000000,26276465,39267515,19,272,86,Middle,5.033333333333333
741,Seabiscuit - Un mito senza tempo,2003,"Drama, History, Sport",140,USA,English,Gary Ross,7.3,65913,87000000,120277854,148336445,72,470,164,High,7.0200000000000005
742,Torque - Circuiti di fuoco,2004,"Action, Comedy, Crime",84,USA,English,Joseph Kahn,4.1,26801,40000000,21215059,46546197,41,217,88,Middle,5.633333333333333
743,Hollywood Homicide,2003,"Action, Comedy, Crime",116,USA,English,Ron Shelton,5.3,35501,75000000,30940691,51142659,47,252,133,Middle,6.066666666666666
744,xXx 2: The Next Level,2005,"Action, Adventure, Crime",101,USA,English,Lee Tamahori,4.4,66509,113000000,26873932,71022693,37,234,50,Middle,6.48888888888889
745,L'uomo di casa,2005,"Comedy, Crime",100,USA,English,Stephen Herek,5.4,22555,40000000,19699706,21577624,35,96,63,Middle,6.092307692307691
746,Le pagine della nostra vita,2004,"Drama, Romance",123,USA,English,Nick Cassavetes,7.8,508136,29000000,81001787,115882795,53,1266,146,High,6.642857142857143
747,Il padre di mio figlio,2004,Comedy,86,USA,English,Cheryl Dunye,4.6,3460,12000000,17669317,18490423,23,17,32,Middle,5.466666666666666
748,Una bionda in carriera,2003,Comedy,95,USA,English,Charles Herman-Wurmfeld,4.8,60267,45000000,90186328,124914842,47,305,58,Middle,6.133333333333333
749,Appuntamento da sogno!,2004,"Comedy, Romance",96,USA,English,Robert Luketic,5.6,26373,22000000,17071962,21513434,52,153,84,Middle,5.925000000000001
750,La bottega del barbiere 2,2004,"Comedy, Drama",106,USA,English,Kevin Rodney Sullivan,5.7,14025,30000000,65111277,65991448,59,68,55,Middle,5.766666666666667
751,I Rugrats nella giungla,2003,"Animation, Adventure, Comedy",80,USA,English,"John Eng, Norton Virgien",5.6,7546,25000000,39402572,55250496,38,39,40,Middle,5.6
752,Se mi lasci ti cancello,2004,"Drama, Romance, Sci-Fi",108,USA,English,Michel Gondry,8.3,889875,20000000,34400301,74036715,89,1825,297,High,6.6875
753,Grind,2003,"Adventure, Comedy, Sport",105,USA,English,Casey La Scala,6.0,11668,6000000,5123696,5141166,30,101,28,Middle,5.15
754,La casa dei fantasmi,2003,"Comedy, Family, Fantasy",99,USA,English,Rob Minkoff,5.0,41032,90000000,75847266,182290266,34,191,134,Middle,6.033333333333332
755,Polar Express,2004,"Animation, Adventure, Comedy",100,USA,English,Robert Zemeckis,6.6,168056,165000000,187224490,313500433,61,523,180,Middle,7.166666666666667
756,Spy Kids - Missione 3-D: Game Over,2003,"Action, Adventure, Comedy",84,USA,English,Robert Rodriguez,4.3,53750,38000000,111761982,197101678,57,209,93,Middle,5.778571428571428
757,Fratelli per la pelle,2003,Comedy,118,USA,English,"Bobby Farrelly, Peter Farrelly",5.7,50580,55000000,33832741,65784503,62,152,126,Middle,6.090909090909091
